date,areaName,areaCode,hospitalCases,newAdmissions,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newPillarTwoTestsByPublishDate,newDeaths28DaysByPublishDate,newPillarOneTestsByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesPCROnlyBySpecimenDate,newPCRTestsByPublishDate,newLFDTests,newCasesLFDOnlyBySpecimenDate,cumPeopleVaccinatedSecondDoseByPublishDate,newCasesByPublishDate,covidOccupiedMVBeds
2023-11-20,Northern Ireland,N92000002,36,0,,,,,,,,,,,,,
2023-11-19,Northern Ireland,N92000002,40,1,,,,,,,,,,,,,
2023-11-18,Northern Ireland,N92000002,41,3,,,,,,,,,,,,,
2023-11-17,Northern Ireland,N92000002,42,1,,,,,,,,,,,,,
2023-11-16,Northern Ireland,N92000002,46,2,,,,,,,,,,,,,
2023-11-15,Northern Ireland,N92000002,45,3,,,,,,,,,,,,,
2023-11-14,Northern Ireland,N92000002,45,5,,,,,,,,,,,,,
2023-11-13,Northern Ireland,N92000002,51,3,,,,,,,,,,,,,
2023-11-12,Northern Ireland,N92000002,52,3,,,,,,,,,,,,,
2023-11-11,Northern Ireland,N92000002,53,1,,,,,,,,,,,,,
2023-11-10,Northern Ireland,N92000002,55,4,,,,,,,,,,,,,
2023-11-09,Northern Ireland,N92000002,57,1,,,,,,,,,,,,,
2023-11-08,Northern Ireland,N92000002,59,9,,,,,,,,,,,,,
2023-11-07,Northern Ireland,N92000002,54,6,,,,,,,,,,,,,
2023-11-06,Northern Ireland,N92000002,57,5,,,,,,,,,,,,,
2023-11-05,Northern Ireland,N92000002,57,4,,,,,,,,,,,,,
2023-11-04,Northern Ireland,N92000002,57,5,,,,,,,,,,,,,
2023-11-03,Northern Ireland,N92000002,55,5,,,,,,,,,,,,,
2023-11-02,Northern Ireland,N92000002,53,3,,,,,,,,,,,,,
2023-11-01,Northern Ireland,N92000002,60,3,,,,,,,,,,,,,
2023-10-31,Northern Ireland,N92000002,64,11,,,,,,,,,,,,,
2023-10-30,Northern Ireland,N92000002,63,5,,,,,,,,,,,,,
2023-10-29,Northern Ireland,N92000002,72,3,,,,,,,,,,,,,
2023-10-28,Northern Ireland,N92000002,69,5,,,,,,,,,,,,,
2023-10-27,Northern Ireland,N92000002,68,5,,,,,,,,,,,,,
2023-10-26,Northern Ireland,N92000002,77,6,,,,,,,,,,,,,
2023-10-25,Northern Ireland,N92000002,76,10,,,,,,,,,,,,,
2023-10-24,Northern Ireland,N92000002,72,7,,,,,,,,,,,,,
2023-10-23,Northern Ireland,N92000002,80,9,,,,,,,,,,,,,
2023-10-22,Northern Ireland,N92000002,81,8,,,,,,,,,,,,,
2023-10-21,Northern Ireland,N92000002,81,5,,,,,,,,,,,,,
2023-10-20,Northern Ireland,N92000002,80,7,,,,,,,,,,,,,
2023-10-19,Northern Ireland,N92000002,81,4,,,,,,,,,,,,,
2023-10-18,Northern Ireland,N92000002,87,9,,,,,,,,,,,,,
2023-10-17,Northern Ireland,N92000002,86,10,,,,,,,,,,,,,
2023-10-16,Northern Ireland,N92000002,92,11,,,,,,,,,,,,,
2023-10-15,Northern Ireland,N92000002,97,10,,,,,,,,,,,,,
2023-10-14,Northern Ireland,N92000002,92,4,,,,,,,,,,,,,
2023-10-13,Northern Ireland,N92000002,91,3,,,,,,,,,,,,,
2023-10-12,Northern Ireland,N92000002,96,7,,,,,,,,,,,,,
2023-10-11,Northern Ireland,N92000002,101,13,,,,,,,,,,,,,
2023-10-10,Northern Ireland,N92000002,99,8,,,,,,,,,,,,,
2023-10-09,Northern Ireland,N92000002,102,12,,,,,,,,,,,,,
2023-10-08,Northern Ireland,N92000002,103,5,,,,,,,,,,,,,
2023-10-07,Northern Ireland,N92000002,102,8,,,,,,,,,,,,,
2023-10-06,Northern Ireland,N92000002,103,13,,,,,,,,,,,,,
2023-10-05,Northern Ireland,N92000002,101,13,,,,,,,,,,,,,
2023-10-04,Northern Ireland,N92000002,98,10,,,,,,,,,,,,,
2023-10-03,Northern Ireland,N92000002,104,17,,,,,,,,,,,,,
2023-10-02,Northern Ireland,N92000002,95,10,,,,,,,,,,,,,
2023-10-01,Northern Ireland,N92000002,95,7,,,,,,,,,,,,,
2023-09-30,Northern Ireland,N92000002,89,10,,,,,,,,,,,,,
2023-09-29,Northern Ireland,N92000002,82,10,,,,,,,,,,,,,
2023-09-28,Northern Ireland,N92000002,82,11,,,,,,,,,,,,,
2023-09-27,Northern Ireland,N92000002,79,12,,,,,,,,,,,,,
2023-09-26,Northern Ireland,N92000002,78,10,,,,,,,,,,,,,
2023-09-25,Northern Ireland,N92000002,80,6,,,,,,,,,,,,,
2023-09-24,Northern Ireland,N92000002,91,10,,,,,,,,,,,,,
2023-09-23,Northern Ireland,N92000002,86,10,,,,,,,,,,,,,
2023-09-22,Northern Ireland,N92000002,84,10,,,,,,,,,,,,,
2023-09-21,Northern Ireland,N92000002,83,8,,,,,,,,,,,,,
2023-09-20,Northern Ireland,N92000002,82,8,,,,,,,,,,,,,
2023-09-19,Northern Ireland,N92000002,88,8,,,,,,,,,,,,,
2023-09-18,Northern Ireland,N92000002,99,14,,,,,,,,,,,,,
2023-09-17,Northern Ireland,N92000002,97,8,,,,,,,,,,,,,
2023-09-16,Northern Ireland,N92000002,91,14,,,,,,,,,,,,,
2023-09-15,Northern Ireland,N92000002,79,7,,,,,,,,,,,,,
2023-09-14,Northern Ireland,N92000002,83,11,,,,,,,,,,,,,
2023-09-13,Northern Ireland,N92000002,82,7,,,,,,,,,,,,,
2023-09-12,Northern Ireland,N92000002,88,11,,,,,,,,,,,,,
2023-09-11,Northern Ireland,N92000002,86,8,,,,,,,,,,,,,
2023-09-10,Northern Ireland,N92000002,87,10,,,,,,,,,,,,,
2023-09-09,Northern Ireland,N92000002,86,9,,,,,,,,,,,,,
2023-09-08,Northern Ireland,N92000002,85,11,,,,,,,,,,,,,
2023-09-07,Northern Ireland,N92000002,85,11,,,,,,,,,,,,,
2023-09-06,Northern Ireland,N92000002,84,6,,,,,,,,,,,,,
2023-09-05,Northern Ireland,N92000002,94,18,,,,,,,,,,,,,
2023-09-04,Northern Ireland,N92000002,89,8,,,,,,,,,,,,,
2023-09-03,Northern Ireland,N92000002,92,11,,,,,,,,,,,,,
2023-09-02,Northern Ireland,N92000002,84,7,,,,,,,,,,,,,
2023-09-01,Northern Ireland,N92000002,80,14,,,,,,,,,,,,,
2023-08-31,Northern Ireland,N92000002,79,9,,,,,,,,,,,,,
2023-08-30,Northern Ireland,N92000002,83,5,,,,,,,,,,,,,
2023-08-29,Northern Ireland,N92000002,89,15,,,,,,,,,,,,,
2023-08-28,Northern Ireland,N92000002,86,12,,,,,,,,,,,,,
2023-08-27,Northern Ireland,N92000002,85,4,,,,,,,,,,,,,
2023-08-26,Northern Ireland,N92000002,88,6,,,,,,,,,,,,,
2023-08-25,Northern Ireland,N92000002,86,9,,,,,,,,,,,,,
2023-08-24,Northern Ireland,N92000002,90,3,,,,,,,,,,,,,
2023-08-23,Northern Ireland,N92000002,100,17,,,,,,,,,,,,,
2023-08-22,Northern Ireland,N92000002,101,17,,,,,,,,,,,,,
2023-08-21,Northern Ireland,N92000002,93,15,,,,,,,,,,,,,
2023-08-20,Northern Ireland,N92000002,95,9,,,,,,,,,,,,,
2023-08-19,Northern Ireland,N92000002,95,12,,,,,,,,,,,,,
2023-08-18,Northern Ireland,N92000002,93,14,,,,,,,,,,,,,
2023-08-17,Northern Ireland,N92000002,92,15,,,,,,,,,,,,,
2023-08-16,Northern Ireland,N92000002,91,10,,,,,,,,,,,,,
2023-08-15,Northern Ireland,N92000002,96,15,,,,,,,,,,,,,
2023-08-14,Northern Ireland,N92000002,94,15,,,,,,,,,,,,,
2023-08-13,Northern Ireland,N92000002,89,14,,,,,,,,,,,,,
2023-08-12,Northern Ireland,N92000002,78,7,,,,,,,,,,,,,
2023-08-11,Northern Ireland,N92000002,77,14,,,,,,,,,,,,,
2023-08-10,Northern Ireland,N92000002,74,16,,,,,,,,,,,,,
2023-08-09,Northern Ireland,N92000002,72,13,,,,,,,,,,,,,
2023-08-08,Northern Ireland,N92000002,70,13,,,,,,,,,,,,,
2023-08-07,Northern Ireland,N92000002,68,19,,,,,,,,,,,,,
2023-08-06,Northern Ireland,N92000002,61,7,,,,,,,,,,,,,
2023-08-05,Northern Ireland,N92000002,59,7,,,,,,,,,,,,,
2023-08-04,Northern Ireland,N92000002,58,5,,,,,,,,,,,,,
2023-08-03,Northern Ireland,N92000002,69,12,,,,,,,,,,,,,
2023-08-02,Northern Ireland,N92000002,66,15,,,,,,,,,,,,,
2023-08-01,Northern Ireland,N92000002,61,13,,,,,,,,,,,,,
2023-07-31,Northern Ireland,N92000002,55,11,,,,,,,,,,,,,
2023-07-30,Northern Ireland,N92000002,52,11,,,,,,,,,,,,,
2023-07-29,Northern Ireland,N92000002,44,3,,,,,,,,,,,,,
2023-07-28,Northern Ireland,N92000002,46,9,,,,,,,,,,,,,
2023-07-27,Northern Ireland,N92000002,43,7,,,,,,,,,,,,,
2023-07-26,Northern Ireland,N92000002,46,9,,,,,,,,,,,,,
2023-07-25,Northern Ireland,N92000002,42,6,,,,,,,,,,,,,
2023-07-24,Northern Ireland,N92000002,44,8,,,,,,,,,,,,,
2023-07-23,Northern Ireland,N92000002,41,5,,,,,,,,,,,,,
2023-07-22,Northern Ireland,N92000002,39,4,,,,,,,,,,,,,
2023-07-21,Northern Ireland,N92000002,39,5,,,,,,,,,,,,,
2023-07-20,Northern Ireland,N92000002,38,5,,,,,,,,,,,,,
2023-07-19,Northern Ireland,N92000002,38,5,,,,,,,,,,,,,
2023-07-18,Northern Ireland,N92000002,41,6,,,,,,,,,,,,,
2023-07-17,Northern Ireland,N92000002,39,6,,,,,,,,,,,,,
2023-07-16,Northern Ireland,N92000002,40,8,,,,,,,,,,,,,
2023-07-15,Northern Ireland,N92000002,34,1,,,,,,,,,,,,,
2023-07-14,Northern Ireland,N92000002,34,3,,,,,,,,,,,,,
2023-07-13,Northern Ireland,N92000002,34,4,,,,,,,,,,,,,
2023-07-12,Northern Ireland,N92000002,35,1,,,,,,,,,,,1361003,,
2023-07-11,Northern Ireland,N92000002,36,5,,,,,,,,,,,1361003,,
2023-07-10,Northern Ireland,N92000002,34,5,,,,,,,,,,,1361001,,
2023-07-09,Northern Ireland,N92000002,33,2,,,,,,,,,,,1361000,,
2023-07-08,Northern Ireland,N92000002,32,3,,,,,,,,,,,1360994,,
2023-07-07,Northern Ireland,N92000002,32,6,,,,,,,,,,,1360994,,
2023-07-06,Northern Ireland,N92000002,29,1,,,,,,,,,,,1360994,,
2023-07-05,Northern Ireland,N92000002,31,4,,,,,,,,,,,1360995,,
2023-07-04,Northern Ireland,N92000002,30,6,,,,,,,,,,,1360993,,
2023-07-03,Northern Ireland,N92000002,26,2,,,,,,,,,,,1360992,,
2023-07-02,Northern Ireland,N92000002,28,0,,,,,,,,,,,1360992,,
2023-07-01,Northern Ireland,N92000002,28,0,,,,,,,,,,,1360998,,
2023-06-30,Northern Ireland,N92000002,28,0,,,,,,,,,,,1360997,,
2023-06-29,Northern Ireland,N92000002,30,1,,,,,,,,,,,1360987,,
2023-06-28,Northern Ireland,N92000002,33,2,,,,,,,,,,,1360987,,
2023-06-27,Northern Ireland,N92000002,33,1,,,,,,,,,,,1360986,,
2023-06-26,Northern Ireland,N92000002,36,2,,,,,,,,,,,1360985,,
2023-06-25,Northern Ireland,N92000002,36,2,,,,,,,,,,,1360985,,
2023-06-24,Northern Ireland,N92000002,36,1,,,,,,,,,,,1360984,,
2023-06-23,Northern Ireland,N92000002,36,2,,,,,,,,,,,1360966,,
2023-06-22,Northern Ireland,N92000002,41,2,,,,,,,,,,,1360966,,
2023-06-21,Northern Ireland,N92000002,42,5,,,,,,,,,,,1360966,,
2023-06-20,Northern Ireland,N92000002,39,1,,,,,,,,,,,1360966,,
2023-06-19,Northern Ireland,N92000002,43,3,,,,,,,,,,,1360965,,
2023-06-18,Northern Ireland,N92000002,46,2,,,,,,,,,,,1360961,,
2023-06-17,Northern Ireland,N92000002,44,2,,,,,,,,,,,1360959,,
2023-06-16,Northern Ireland,N92000002,44,4,,,,,,,,,,,1360957,,
2023-06-15,Northern Ireland,N92000002,48,1,,,,,,,,,,,1360957,,
2023-06-14,Northern Ireland,N92000002,53,7,,,,,,,,,,,1360957,,
2023-06-13,Northern Ireland,N92000002,50,5,,,,,,,,,,,1360957,,
2023-06-12,Northern Ireland,N92000002,52,6,,,,,,,,,,,1360954,,
2023-06-11,Northern Ireland,N92000002,49,2,,,,,,,,,,,1360953,,
2023-06-10,Northern Ireland,N92000002,47,4,,,,,,,,,,,1360952,,
2023-06-09,Northern Ireland,N92000002,46,3,,,,,,,,,,,1360945,,
2023-06-08,Northern Ireland,N92000002,48,4,,,,,,,,,,,1360947,,
2023-06-07,Northern Ireland,N92000002,49,4,,,,,,,,,,,1360953,,
2023-06-06,Northern Ireland,N92000002,49,4,,,,,,,,,,,1360952,,
2023-06-05,Northern Ireland,N92000002,49,6,,,,,,,,,,,1360951,,
2023-06-04,Northern Ireland,N92000002,48,3,,,,,,,,,,,1360951,,
2023-06-03,Northern Ireland,N92000002,45,3,,,,,,,,,,,1360954,,
2023-06-02,Northern Ireland,N92000002,47,0,,,,,,,,,,,1360947,,
2023-06-01,Northern Ireland,N92000002,54,3,,,,,,,,,,,1360947,,
2023-05-31,Northern Ireland,N92000002,55,5,,,,,,,,,,,1360947,,
2023-05-30,Northern Ireland,N92000002,55,5,,,,,,,,,,,1360946,,
2023-05-29,Northern Ireland,N92000002,58,4,,,,,,,,,,,1360944,,
2023-05-28,Northern Ireland,N92000002,60,9,,,,,,,,,,,1360944,,
2023-05-27,Northern Ireland,N92000002,55,3,,,,,,,,,,,1360943,,
2023-05-26,Northern Ireland,N92000002,58,5,,,,,,,,,,,1360935,,
2023-05-25,Northern Ireland,N92000002,63,7,,,,,,,,,,,1360933,,
2023-05-24,Northern Ireland,N92000002,67,7,,,,,,,,,,,1360931,,
2023-05-23,Northern Ireland,N92000002,68,7,,,,,,,,,,,1360930,,
2023-05-22,Northern Ireland,N92000002,67,4,,,,,,,,,,,1360932,,
2023-05-21,Northern Ireland,N92000002,70,2,,,,,,,,,,,1360934,,
2023-05-20,Northern Ireland,N92000002,73,7,,,,,,,,,,,1360930,,
2023-05-19,Northern Ireland,N92000002,71,5,,,,,,,,,,,1360923,,
2023-05-18,Northern Ireland,N92000002,74,10,,,,,,,,,,,1360917,,
2023-05-17,Northern Ireland,N92000002,71,1,,,,,,,,,,,1360917,,
2023-05-16,Northern Ireland,N92000002,82,8,,,,,,,,,,,1360917,,
2023-05-15,Northern Ireland,N92000002,83,5,,,,,,,,,,,1360915,,
2023-05-14,Northern Ireland,N92000002,88,6,,,,,,,,,,,1360910,,
2023-05-13,Northern Ireland,N92000002,89,7,,,,,,,,,,,1360915,,
2023-05-12,Northern Ireland,N92000002,90,10,,,,,,,,,,,1360911,,
2023-05-11,Northern Ireland,N92000002,91,9,,,,,,,,,,,1360909,,
2023-05-10,Northern Ireland,N92000002,86,10,,,,,,,,,,,1360909,,
2023-05-09,Northern Ireland,N92000002,86,5,,,,,,,,,,,1360908,,
2023-05-08,Northern Ireland,N92000002,89,7,,,,,,,,,,,1360895,,
2023-05-07,Northern Ireland,N92000002,86,7,,,,,,,,,,,1360893,,
2023-05-06,Northern Ireland,N92000002,83,6,,,,,,,,,,,1360887,,
2023-05-05,Northern Ireland,N92000002,80,8,,,,,,,,,,,1360871,,
2023-05-04,Northern Ireland,N92000002,80,4,,,,,,,,,,,1360869,,
2023-05-03,Northern Ireland,N92000002,87,4,,,,,,,,,,,1360824,,
2023-05-02,Northern Ireland,N92000002,93,3,,,,,,,,,,,1360785,,
2023-05-01,Northern Ireland,N92000002,101,6,,,,,,,,,,,1360785,,
2023-04-30,Northern Ireland,N92000002,101,7,,,,,,,,,,,1360782,,
2023-04-29,Northern Ireland,N92000002,99,10,,,,,,,,,,,1360769,,
2023-04-28,Northern Ireland,N92000002,94,10,,,,,,,,,,,1360762,,
2023-04-27,Northern Ireland,N92000002,97,9,,,,,,,,,,,1360725,,
2023-04-26,Northern Ireland,N92000002,100,9,,,,,,,,,,,1360720,,
2023-04-25,Northern Ireland,N92000002,99,9,,,,,,,,,,,1360706,,
2023-04-24,Northern Ireland,N92000002,101,11,,,,,,,,,,,1360696,,
2023-04-23,Northern Ireland,N92000002,109,6,,,,,,,,,,,1360693,,
2023-04-22,Northern Ireland,N92000002,106,7,,,,,,,,,,,1360690,,
2023-04-21,Northern Ireland,N92000002,103,8,,,,,,,,,,,1360674,,
2023-04-20,Northern Ireland,N92000002,107,11,,,,,,,,,,,1360670,,
2023-04-19,Northern Ireland,N92000002,106,6,,,,,,,,,,,1360668,,
2023-04-18,Northern Ireland,N92000002,111,10,,,,,,,,,,,1360667,,
2023-04-17,Northern Ireland,N92000002,117,16,,,,,,,,,,,1360666,,
2023-04-16,Northern Ireland,N92000002,116,14,,,,,,,,,,,1360663,,
2023-04-15,Northern Ireland,N92000002,104,6,,,,,,,,,,,1360662,,
2023-04-14,Northern Ireland,N92000002,106,12,,,,,,,,,,,1360648,,
2023-04-13,Northern Ireland,N92000002,114,9,,,,,,,,,,,1360646,,
2023-04-12,Northern Ireland,N92000002,118,11,,,,,,,,,,,1360639,,
2023-04-11,Northern Ireland,N92000002,127,7,,,,,,,,,,,1360633,,
2023-04-10,Northern Ireland,N92000002,128,13,,,,,,,,,,,1360633,,
2023-04-09,Northern Ireland,N92000002,123,12,,,,,,,,,,,1360633,,
2023-04-08,Northern Ireland,N92000002,120,16,,,,,,,,,,,1360632,,
2023-04-07,Northern Ireland,N92000002,112,21,,,,,,,,,,,1360628,,
2023-04-06,Northern Ireland,N92000002,111,10,,,,,,,,,,,1360620,,
2023-04-05,Northern Ireland,N92000002,111,13,,,,,,,,,,,1360613,,
2023-04-04,Northern Ireland,N92000002,114,15,,,,,,,,,,,1360610,,
2023-04-03,Northern Ireland,N92000002,117,16,,,,,,,,,,,1360607,,
2023-04-02,Northern Ireland,N92000002,112,13,,,,,,,,,,,1360601,,
2023-04-01,Northern Ireland,N92000002,101,11,,,,,,,,,,,1360597,,
2023-03-31,Northern Ireland,N92000002,100,10,,,,,,,,,,,1360587,,
2023-03-30,Northern Ireland,N92000002,109,13,,,,,,,,,,,1360586,,
2023-03-29,Northern Ireland,N92000002,113,15,,,,,,,,,,,1360581,,
2023-03-28,Northern Ireland,N92000002,112,16,,,,,,,,,,,1360579,,
2023-03-27,Northern Ireland,N92000002,103,13,,,,,,,,,,,1360571,,
2023-03-26,Northern Ireland,N92000002,105,11,,,,,,,,,,,1360566,,
2023-03-25,Northern Ireland,N92000002,97,10,,,,,,,,,,,1360565,,
2023-03-24,Northern Ireland,N92000002,101,16,,,,,,,,,,,1360550,,
2023-03-23,Northern Ireland,N92000002,103,19,,,,,,,,,,,1360540,,
2023-03-22,Northern Ireland,N92000002,97,11,,,,,,,,,,,1360538,,
2023-03-21,Northern Ireland,N92000002,95,21,,,,,,,,,,,1360527,,
2023-03-20,Northern Ireland,N92000002,87,13,,,,,,,,,,,1360521,,
2023-03-19,Northern Ireland,N92000002,84,14,,,,,,,,,,,1360510,,
2023-03-18,Northern Ireland,N92000002,77,13,,,,,,,,,,,1360496,,
2023-03-17,Northern Ireland,N92000002,71,8,,,,,,,,,,,1360496,,
2023-03-16,Northern Ireland,N92000002,72,12,,,,,,,,,,,1360496,,
2023-03-15,Northern Ireland,N92000002,75,9,,,,,,,,,,,1360494,,
2023-03-14,Northern Ireland,N92000002,77,10,,,,,,,,,,,1360494,,
2023-03-13,Northern Ireland,N92000002,72,10,,,,,,,,,,,1360485,,
2023-03-12,Northern Ireland,N92000002,69,4,,,,,,,,,,,1360482,,
2023-03-11,Northern Ireland,N92000002,70,7,,,,,,,,,,,1360480,,
2023-03-10,Northern Ireland,N92000002,71,8,,,,,,,,,,,1360456,,
2023-03-09,Northern Ireland,N92000002,73,8,,,,,,,,,,,1360456,,
2023-03-08,Northern Ireland,N92000002,72,10,,,,,,,,,,,1360453,,
2023-03-07,Northern Ireland,N92000002,80,7,,,,,,,,,,,1360447,,
2023-03-06,Northern Ireland,N92000002,78,7,,,,,,,,,,,1360438,,
2023-03-05,Northern Ireland,N92000002,78,6,,,,,,,,,,,1360432,,
2023-03-04,Northern Ireland,N92000002,77,6,,,,,,,,,,,1360436,,
2023-03-03,Northern Ireland,N92000002,76,12,,,,,,,,,,,1360422,,
2023-03-02,Northern Ireland,N92000002,68,4,,,,,,,,,,,1360420,,
2023-03-01,Northern Ireland,N92000002,68,7,,,,,,,,,,,1360415,,
2023-02-28,Northern Ireland,N92000002,69,6,,,,,,,,,,,1360406,,
2023-02-27,Northern Ireland,N92000002,67,5,,,,,,,,,,,1360389,,
2023-02-26,Northern Ireland,N92000002,69,3,,,,,,,,,,,1360387,,
2023-02-25,Northern Ireland,N92000002,69,7,,,,,,,,,,,1360381,,
2023-02-24,Northern Ireland,N92000002,68,7,,,,,,,,,,,1360366,,
2023-02-23,Northern Ireland,N92000002,76,4,,,,,,,,,,,1360361,,
2023-02-22,Northern Ireland,N92000002,82,4,,,,,,,,,,,1360358,,
2023-02-21,Northern Ireland,N92000002,88,5,,,,,,,,,,,1360353,,
2023-02-20,Northern Ireland,N92000002,96,4,,,,,,,,,,,1360351,,
2023-02-19,Northern Ireland,N92000002,104,2,,,,,,,,,,,1360343,,
2023-02-18,Northern Ireland,N92000002,105,8,,,,,,,,,,,1360346,,
2023-02-17,Northern Ireland,N92000002,103,6,,,,,,,,,,,1360327,,
2023-02-16,Northern Ireland,N92000002,105,7,,,,,,,,,,,1360323,,
2023-02-15,Northern Ireland,N92000002,108,6,,,,,,,,,,,1360314,,
2023-02-14,Northern Ireland,N92000002,112,10,,,,,,,,,,,1360310,,
2023-02-13,Northern Ireland,N92000002,116,7,,,,,,,,,,,1360307,,
2023-02-12,Northern Ireland,N92000002,111,7,,,,,,,,,,,1360302,,
2023-02-11,Northern Ireland,N92000002,107,7,,,,,,,,,,,1360300,,
2023-02-10,Northern Ireland,N92000002,103,5,,,,,,,,,,,1360282,,
2023-02-09,Northern Ireland,N92000002,113,8,,,,,,,,,,,1360281,,
2023-02-08,Northern Ireland,N92000002,116,6,,,,,,,,,,,1360275,,
2023-02-07,Northern Ireland,N92000002,119,5,,,,,,,,,,,1360272,,
2023-02-06,Northern Ireland,N92000002,118,7,,,,,,,,,,,1360269,,
2023-02-05,Northern Ireland,N92000002,121,4,,,,,,,,,,,1360264,,
2023-02-04,Northern Ireland,N92000002,121,7,,,,,,,,,,,1360358,,
2023-02-03,Northern Ireland,N92000002,120,9,,,,,,,,,,,1360243,,
2023-02-02,Northern Ireland,N92000002,117,6,,,,,,,,,,,1360240,,
2023-02-01,Northern Ireland,N92000002,125,4,,,,,,,,,,,1360236,,
2023-01-31,Northern Ireland,N92000002,129,7,,,,,,,,,,,1360232,,
2023-01-30,Northern Ireland,N92000002,130,10,,,,,,,,,,,1360216,,
2023-01-29,Northern Ireland,N92000002,131,5,,,,,,,,,,,1360215,,
2023-01-28,Northern Ireland,N92000002,126,2,,,,,,,,,,,1360209,,
2023-01-27,Northern Ireland,N92000002,128,3,,,,,,,,,,,1360185,,
2023-01-26,Northern Ireland,N92000002,132,7,,,,,,,,,,,1360181,,
2023-01-25,Northern Ireland,N92000002,132,8,,,,,,,,,,,1360178,,
2023-01-24,Northern Ireland,N92000002,135,7,,,,,,,,,,,1360170,,
2023-01-23,Northern Ireland,N92000002,135,5,,,,,,,,,,,1360159,,
2023-01-22,Northern Ireland,N92000002,143,3,,,,,,,,,,,1360153,,
2023-01-21,Northern Ireland,N92000002,143,4,,,,,,,,,,,1360148,,
2023-01-20,Northern Ireland,N92000002,141,7,,,,,,,,,,,1360114,,
2023-01-19,Northern Ireland,N92000002,154,5,,,,,,,,,,,1360107,,
2023-01-18,Northern Ireland,N92000002,169,9,,,,,,,,,,,1360107,,
2023-01-17,Northern Ireland,N92000002,181,13,,,,,,,,,,,1360107,,
2023-01-16,Northern Ireland,N92000002,190,13,,,,,,,,,,,1360082,,
2023-01-15,Northern Ireland,N92000002,195,11,,,,,,,,,,,1360076,,
2023-01-14,Northern Ireland,N92000002,198,14,,,,,,,,,,,1360068,,
2023-01-13,Northern Ireland,N92000002,201,18,,,,,,,,,,,1360036,,
2023-01-12,Northern Ireland,N92000002,213,17,,,,,,,,,,,1360019,,
2023-01-11,Northern Ireland,N92000002,214,12,,,,,,,,,,,1360007,,
2023-01-10,Northern Ireland,N92000002,228,18,,,,,,,,,,,1359978,,
2023-01-09,Northern Ireland,N92000002,233,24,,,,,,,,,,,1359975,,
2023-01-08,Northern Ireland,N92000002,225,11,,,,,,,,,,,1359972,,
2023-01-07,Northern Ireland,N92000002,231,20,,,,,,,,,,,1359965,,
2023-01-06,Northern Ireland,N92000002,224,22,,,,,,,,,,,1359895,,
2023-01-05,Northern Ireland,N92000002,243,24,,,,,,,,,,,1359922,,
2023-01-04,Northern Ireland,N92000002,253,33,,,,,,,,,,,1359918,,
2023-01-03,Northern Ireland,N92000002,248,19,,,,,,,,,,,1359902,,
2023-01-02,Northern Ireland,N92000002,263,24,,,,,,,,,,,1359893,,
2023-01-01,Northern Ireland,N92000002,252,28,,,,,,,,,,,1359893,,
2022-12-31,Northern Ireland,N92000002,246,37,,,,,,,,,,,1359896,,
2022-12-30,Northern Ireland,N92000002,230,44,,,,,,,,,,,1359896,,
